Bug_ID,Bug_Title,Bug_Description,Category,Technology,Module,Environment,Severity,Priority,Status,Resolution,Expected_Resolution_Time
BUG00035,Product additions do not show up in searches,Newly added products fail to show up in queries because database hooks omit indexing tasks. Note: system transaction key 6397 was recorded.,Search,MySQL,Index Tracker,Windows,Medium,P3,Open,Increase sync intervals on index managers to capture dataset changes.,68
BUG00036,Missing template variables crash email dispatch operations,Automated receipt dispatch operations fail due to syntax parsing errors in HTML templates.,Notification,Azure,Email Engine,Azure,Low,P4,Fixed,Add try-catch structures around rendering runs to catch variable reference errors.,168
BUG00037,Missing mime verification allows executable uploads,Attackers can upload active script files by modifying filename parameters.,File Upload,Azure,Security Sanitizer,Azure,Critical,P1,In Progress,Configure storage buckets to block execution permissions on uploaded file assets.,6
BUG00038,Session cookies miss HTTPOnly security identifiers,Client cookies are exposed to scripts because verification properties omit secure attributes.,Session Management,Django,Cookie Settings,Kubernetes,High,P2,Closed,Modify session creation methods to append security flag attributes onto cookie records.,21
BUG00039,Active user session terminates unexpectedly,Sessions terminate within 5 minutes of login operations despite active page updates on the frontend.,Authentication,Azure,SessionManager,Azure,Medium,P3,Open,Refactor the session validator to refresh TTL variables inside the database on active user API requests.,50
BUG00040,Database deadlock during shopping cart update,Concurrent inventory count updates cause transaction rollbacks because database queries deadlock.,Database,ASP.NET,TransactionManager,Windows,Low,P4,Fixed,Standardize query locking order across concurrent updates to avoid circular waits.,131
BUG00041,Unhandled server exception when API receives empty body,Sending requests with empty JSON bodies to /api/users/login causes unhandled exceptions on the server. Note: system transaction key 5736 was recorded.,API,Django,Controller,Windows,Critical,P1,Closed,Add validation middleware to intercept empty payloads and return standard HTTP 400 errors.,6
BUG00042,Dashboard component triggers infinite rendering loop,"Updating data options on the dashboard triggers recursive rendering loops, locking client browsers.",UI,Android,Dashboard,Android,High,P2,Fixed,Refactor state setters to trigger conditionally only when values undergo actual modifications.,15
BUG00043,Ingress gateway name conflicts reject routing path,Incoming traffic requests fail with service unavailable exceptions due to routing hostname namespace overlaps.,Network,Django,Ingress,Linux,Medium,P3,Fixed,Reconfigure ingress rules to isolate unique host namespaces and paths.,60
BUG00044,Stored XSS vulnerability in user comments section,"User review strings are rendered on pages without sanitization, permitting malicious HTML executions.",Security,AWS,XSS Sanitizer,AWS,Low,P4,Closed,Implement strict Content Security Policy directives to block execution of inline script payloads.,145
BUG00045,Missing query limits saturate memory during search actions,Listing items crashes web pages when database collections grow because queries fetch thousands of documents.,Performance,PostgreSQL,Pagination Helper,Docker,Critical,P1,Fixed,Enforce pagination limits on catalog list API paths to cap resource load.,7
BUG00046,CSV export processes fail on quote character inputs,"Data export scripts terminate with errors when fields contain quote symbols, disrupting formatting. Note: system transaction key 6297 was recorded.",Backend,Spring Boot,CSV Exporter,Kubernetes,High,P2,Fixed,"Utilize compliant, standardized CSV writing libraries to handle character escapes.",23
BUG00047,Webpack builds fail to parse nested CSS variables,The CSS preprocessor aborts building assets because nested selector formatting rules throw syntax exceptions.,Frontend,Vue,CSS Loader,Docker,Medium,P3,Fixed,Update build configuration files to verify support parameters for modern CSS plugins.,60
BUG00048,Docker compose network port mapping mismatch,The server fails to receive client connection queries because compose files assign duplicate ports.,Configuration,Azure,Compose Config,Azure,Low,P4,Fixed,Correct compose ports properties to redirect traffic to the correct container listener ports.,161
BUG00049,Kubernetes readiness probe checks database prior to start,Replicas are marked down during deployment because check routes execute queries before database runs.,Deployment,Kubernetes,K8s Probes,Kubernetes,Critical,P1,Closed,Separate status routes from heavy database checks to avoid dependency failure loop traps.,2
BUG00050,Cache stampede causes query spikes on catalog database,Concurrent requests flood the persistence layers because cache eviction drops key datasets. Note: system transaction key 9145 was recorded.,Cache,Spring Boot,Eviction Policy,Linux,High,P2,In Progress,Apply locking strategies around cache checks to intercept identical requests.,20
BUG00051,Socket leak caused by unreleased HTTP response bodies,Server memory limits are exceeded because response streams remain open after API operations.,Memory Leak,Node.js,HTTP Stream,Web,Medium,P3,Fixed,Verify client handlers and apply connection pool parameters to close response payloads.,72
BUG00052,Logging operations exhaust system disk space,The host disk partition runs out of storage space due to unchecked debug log file expansion.,Logging,Express,Log Rotator,Linux,Low,P4,Fixed,Configure log files rotation sizes and apply automatic old record purges.,142
BUG00053,Payment gateway processes checkout requests twice,Customers are billed twice when clicking the submit transaction button multiple times. Note: system transaction key 7000 was recorded.,Payment,Express,Checkout Controller,Linux,Critical,P1,In Progress,Deactivate checkout action controls once processing operations initialize.,6
BUG00054,New inventory items missing from search query results,Search query outputs exclude updated records due to cache delay variables.,Search,Spring Boot,Index Tracker,Linux,High,P2,Closed,Increase sync intervals on index managers to capture dataset changes.,21
BUG00055,Missing template variables crash email dispatch operations,The email builder aborts sending messages when user parameters contain null fields.,Notification,Node.js,Email Engine,Windows,Medium,P3,Fixed,Implement schema checks to validate payload values before triggering compiler actions.,40
BUG00056,Large file uploads abort on server timeout limits,Ingest processes close active streams when user files exceed size limits.,File Upload,Django,Upload Controller,Windows,Low,P4,Fixed,Increase connection timeout configurations on file ingest API routes.,108
BUG00057,Secure cookie flags missing on user authorization settings,Security audits identify missing HttpOnly flag settings on authorization cookies. Note: system transaction key 5309 was recorded.,Session Management,Laravel,Cookie Settings,Linux,Critical,P1,Closed,Modify session creation methods to append security flag attributes onto cookie records.,4
BUG00058,SSO login redirect loop during token callback,Users are unable to log in via SSO due to a circular redirect loop triggered during callback validation at /oauth/callback.,Authentication,Angular,Login,Docker,High,P2,Closed,Refactor routing middleware to clear authentication state variables prior to redirecting callback requests.,16
BUG00059,Primary key constraint violation during concurrent signups,Simultaneous insert queries for new user accounts fail due to primary key generation collisions.,Database,Express,Database Schema,Web,Medium,P3,Fixed,Migrate user table primary key strategy to database-managed auto-increment sequence.,61
BUG00060,Unhandled server exception when API receives empty body,The backend API controller crashes instead of returning a bad request response when receiving an empty body. Note: system transaction key 1512 was recorded.,API,Laravel,Controller,Windows,Low,P4,Closed,Add validation middleware to intercept empty payloads and return standard HTTP 400 errors.,102
BUG00061,Infinite rendering loop freezes browser page,"Updating data options on the dashboard triggers recursive rendering loops, locking client browsers. Note: system transaction key 1102 was recorded.",UI,React,Dashboard,Kubernetes,Critical,P1,Fixed,Refactor state setters to trigger conditionally only when values undergo actual modifications.,6
BUG00062,Internal servers fail DNS lookups for external hostnames,Internal application nodes fail to connect to external systems because private subnet DNS lookups timeout.,Network,Django,DNS Handler,Kubernetes,High,P2,Fixed,Configure secure local DNS caches inside internal microservice container configurations.,22
BUG00063,Cross-site scripting exploit possible in comments section,Attackers can inject client-side script elements into the database through the user comments field. Note: system transaction key 2202 was recorded.,Security,Laravel,XSS Sanitizer,Kubernetes,Medium,P3,Closed,Implement strict Content Security Policy directives to block execution of inline script payloads.,54
BUG00064,High CPU usage during PDF generation queues,"Generating large reports blocks execution workers, increasing server CPU load to 100%.",Performance,Django,CPU Manager,Kubernetes,Low,P4,Fixed,Offload document generation tasks to asynchronous workers to shield main threads.,103
BUG00065,CSV export processes fail on quote character inputs,Exporting audit records yields broken document outputs because parser steps fail on symbol formats.,Backend,Flask,CSV Exporter,Docker,Critical,P1,Fixed,Sanitize text inputs during generation to strip out formatting-critical character symbols.,5
BUG00066,Compilation errors during production CSS file parsing steps,The CSS preprocessor aborts building assets because nested selector formatting rules throw syntax exceptions. Note: system transaction key 9127 was recorded.,Frontend,React,CSS Loader,Web,High,P2,Closed,Configure nested CSS preprocessor plugins inside compiler script pipelines.,18
BUG00067,Port conflict prevents docker container network access,Network requests fail to reach backend processes due to mismatched container ports inside compose scripts. Note: system transaction key 3883 was recorded.,Configuration,Docker,Compose Config,Docker,Medium,P3,Fixed,Correct compose ports properties to redirect traffic to the correct container listener ports.,56
BUG00068,Kubernetes readiness probe checks database prior to start,The container orchestrator shuts down starting pods because status routes return error codes on startup. Note: system transaction key 3174 was recorded.,Deployment,Kubernetes,K8s Probes,Kubernetes,Low,P4,Closed,Increase initial delay parameters in probe configuration manifests to permit container boot.,114
BUG00069,Cache eviction failure displays stale profile details,Users complain that setting changes are not saved because cache systems fail to refresh variables. Note: system transaction key 5746 was recorded.,Cache,Redis,Eviction Hook,Linux,Critical,P1,Fixed,Add cache clearing commands to user profile update query procedures.,2
BUG00070,Socket leak caused by unreleased HTTP response bodies,Memory utilization increases continuously because client queries fail to release response handlers.,Memory Leak,Android,HTTP Stream,Android,High,P2,Closed,Wrap outbound requests inside auto-close blocks to ensure socket shutdown.,19
BUG00071,Log file directories fill up local server storage,The host disk partition runs out of storage space due to unchecked debug log file expansion. Note: system transaction key 5321 was recorded.,Logging,Kubernetes,Log Rotator,Kubernetes,Medium,P3,Fixed,Set default log level rules to restrict verbose logging on production machines.,31
BUG00072,Stripe webhook signature validation fails,Webhook callbacks from billing servers fail signature validation validation procedures.,Payment,Spring Boot,Stripe Callback,Web,Low,P4,In Progress,Modify endpoint settings to read raw payload contexts for verification checks.,110
BUG00073,Search index sync delayed for newly added products,"The product catalog fails to refresh index registries, delaying new items from search results.",Search,Spring Boot,Index Tracker,Docker,Critical,P1,Fixed,Integrate index refresh commands inside catalog save query frameworks.,1
BUG00074,High traffic SMS dispatcher blocks internal messaging queues,Alert notifications are delayed because high volume events lock queue execution lanes. Note: system transaction key 7825 was recorded.,Notification,iOS,SMS Dispatcher,iOS,High,P2,Closed,Migrate SMS notifications dispatch logic to asynchronous server-sent event pools.,22
BUG00075,Missing mime verification allows executable uploads,"The file receiver skips verification steps, accepting executable assets on hosts.",File Upload,Flask,Security Sanitizer,Docker,Medium,P3,In Progress,Configure storage buckets to block execution permissions on uploaded file assets.,70
BUG00076,Session database records missing automatic eviction policies,The session registry database consumes major disk resources due to missing TTL configs.,Session Management,Laravel,Session Cleanup,Kubernetes,Low,P4,Open,Enable database lifetime configurations on table columns to sweep old entries.,109
BUG00077,Authentication redirect loop on SSO integration,Single Sign-On authentication gets stuck in an infinite redirect loop when processing the OAuth token callback for user_872 at port 443.,Authentication,Spring Boot,Login,Docker,Critical,P1,Closed,Adjust callback redirect patterns and validate identity provider exchange rules for /checkout/pay.,2
BUG00078,DB query timeout errors due to connection exhaustion,The backend fails to process queries and returns database connection timeout errors under concurrent traffic spikes at 8443. Note: system transaction key 4943 was recorded.,Database,Spring Boot,ConnectionPool,Windows,High,P2,Fixed,Configure idle connection timeouts and expand the connection pool threshold limit variables.,20
BUG00079,Unhandled server exception when API receives empty body,Sending requests with empty JSON bodies to /checkout/pay causes unhandled exceptions on the server.,API,Laravel,Controller,Kubernetes,Medium,P3,Closed,Introduce custom validation annotations to verify request body presence before executing parser code.,31
BUG00080,Mobile viewport layout collapses navigation menu items,The website header menu displays overlapping links when screen width scales below 1024 pixels. Note: system transaction key 2210 was recorded.,UI,Angular,Navigation,Kubernetes,Low,P4,Open,Apply responsive media queries to hide side menu elements and render a burger menu button.,142
BUG00081,Private subnets experience DNS lookup timeouts,Internal application nodes fail to connect to external systems because private subnet DNS lookups timeout. Note: system transaction key 3573 was recorded.,Network,Azure,DNS Handler,Azure,Critical,P1,Closed,Configure secure local DNS caches inside internal microservice container configurations.,7
BUG00082,SQL injection vulnerability detected in user search,"User input in the database search field is passed directly to dynamic statements, creating vulnerabilities. Note: system transaction key 2940 was recorded.",Security,Kubernetes,Security Sanitizer,Kubernetes,High,P2,Open,Add query sanitation filters to intercept and neutralize SQL syntax characters in inputs.,21
BUG00083,Catalog list queries fetch large datasets without limits,The database response size causes backend memory exhaustion when search results fetch unlimited rows. Note: system transaction key 8567 was recorded.,Performance,PostgreSQL,Pagination Helper,Windows,Medium,P3,Open,Enforce pagination limits on catalog list API paths to cap resource load.,63
BUG00084,Null pointer exception in webhook listener handler,The webhook processing interface returns server errors when payloads omit dynamic event context blocks. Note: system transaction key 5150 was recorded.,Backend,Node.js,Webhook Sync,Linux,Low,P4,Open,Implement request validation schemas to filter out incomplete webhook event payloads.,132
BUG00085,Webpack builds fail to parse nested CSS variables,Build compilation crashes during production packaging because stylesheets contain unsupported nested syntax rules. Note: system transaction key 5981 was recorded.,Frontend,React,CSS Loader,Web,Critical,P1,Fixed,Update build configuration files to verify support parameters for modern CSS plugins.,6
BUG00086,Missing token config parameters crash deployment boots,The application initialization step aborts because server settings omit mandatory credentials.,Configuration,Kubernetes,Env Config,Kubernetes,High,P2,Fixed,Implement fallback settings inside properties config files to prevent startup crashes.,12
BUG00087,Kubernetes readiness probe checks database prior to start,Replicas are marked down during deployment because check routes execute queries before database runs. Note: system transaction key 4450 was recorded.,Deployment,AWS,K8s Probes,AWS,Medium,P3,Open,Separate status routes from heavy database checks to avoid dependency failure loop traps.,35
BUG00088,Cache stampede causes query spikes on catalog database,The database CPU usage spikes to peak limits when key index cache records expire simultaneously.,Cache,Express,Eviction Policy,Docker,Low,P4,Closed,Apply locking strategies around cache checks to intercept identical requests.,157
BUG00089,Event listeners accumulate on frontend dashboard reload,Browser window processes leak memory because resize events remain registered after elements leave.,Memory Leak,Node.js,Component Cleanup,Linux,Critical,P1,In Progress,Remove listener registrations when components run cleanups on destruction.,7
BUG00090,Log file directories fill up local server storage,"Stale log data accumulates on application hosts, leading to system out-of-disk outages.",Logging,AWS,Log Rotator,AWS,High,P2,Fixed,Deploy log management tools to compress historic logs and clean directories.,11
BUG00091,Payment webhooks signature check fails,The payment handler returns bad requests on webhook queries due to key verification issues.,Payment,Android,Stripe Callback,Android,Medium,P3,Fixed,Verify signature validation libraries configuration and match webhook callback settings.,35
BUG00092,Search index sync delayed for newly added products,Newly added products fail to show up in queries because database hooks omit indexing tasks.,Search,AWS,Index Tracker,AWS,Low,P4,In Progress,Integrate index refresh commands inside catalog save query frameworks.,167
BUG00093,SMS alerts lock up messaging queues under load,Alert notifications are delayed because high volume events lock queue execution lanes. Note: system transaction key 9827 was recorded.,Notification,Flask,SMS Dispatcher,Web,Critical,P1,Fixed,Migrate SMS notifications dispatch logic to asynchronous server-sent event pools.,5
BUG00094,API gateway aborts large file uploads with connection timeouts,Users get network errors when uploading video assets due to execution timeout settings.,File Upload,React,Upload Controller,Web,High,P2,Closed,Refactor file ingest pathways to split files into multiple small upload chunks.,19
BUG00095,Session database records missing automatic eviction policies,Backend server performance drops because queries parse millions of expired session records.,Session Management,Laravel,Session Cleanup,Windows,Medium,P3,Fixed,Implement hourly cron jobs to delete expired session records from databases.,32
BUG00096,SSO token callback throws infinite redirect loop,Users are unable to log in via SSO due to a circular redirect loop triggered during callback validation at /oauth/callback. Note: system transaction key 9013 was recorded.,Authentication,AWS,Login,AWS,Low,P4,Closed,Refactor routing middleware to clear authentication state variables prior to redirecting callback requests.,148
BUG00097,Primary key constraint violation during concurrent signups,The database table transactions_log throws duplicate key constraints errors during registration steps.,Database,MySQL,Database Schema,AWS,Critical,P1,Open,Implement database transaction lock parameters to verify ID values prior to executing insertion queries.,3
BUG00098,Gateway rate limiting throws error on internal communications,The gateway rate limiter blocks API queries from search-node because request counts exceed thresholds.,API,React,Gateway,Docker,High,P2,Closed,Modify gateway configuration to whitelist internal IP ranges from rate-limiting middleware rules.,18
BUG00099,Mobile viewport layout collapses navigation menu items,The website header menu displays overlapping links when screen width scales below 480 pixels.,UI,Angular,Navigation,Web,Medium,P3,In Progress,Refactor stylesheet rules to replace fixed dimensions with fluid grid viewport layouts.,40
BUG00100,Private subnets experience DNS lookup timeouts,Internal application nodes fail to connect to external systems because private subnet DNS lookups timeout. Note: system transaction key 2627 was recorded.,Network,Django,DNS Handler,Web,Low,P4,In Progress,Verify DNS server routes inside virtual network settings and allow UDP port 53 traffic.,134
BUG00101,Comment module permits script injection via text input fields,Attackers can inject client-side script elements into the database through the user comments field.,Security,AWS,XSS Sanitizer,AWS,Critical,P1,Fixed,Escape HTML characters and format text variables to string fields prior to client output.,1
BUG00102,Catalog list queries fetch large datasets without limits,Retrieving inventory records takes several seconds because queries do not cap output records. Note: system transaction key 2949 was recorded.,Performance,Node.js,Pagination Helper,Web,High,P2,Open,Migrate query structures to page-based cursor navigation strategies to limit records.,22
BUG00103,Null pointer exception in webhook listener handler,Incoming notification webhooks cause server exceptions because validation logic assumes key properties exist.,Backend,Node.js,Webhook Sync,Kubernetes,Medium,P3,Fixed,Add validation checks to safely handle null parameters inside listener scripts.,52
BUG00104,Compilation errors during production CSS file parsing steps,Build compilation crashes during production packaging because stylesheets contain unsupported nested syntax rules. Note: system transaction key 5405 was recorded.,Frontend,Vue,CSS Loader,Kubernetes,Low,P4,Fixed,Update build configuration files to verify support parameters for modern CSS plugins.,122
BUG00105,Environment variables missing in cloud deployment,The application initialization step aborts because server settings omit mandatory credentials. Note: system transaction key 1416 was recorded.,Configuration,AWS,Env Config,AWS,Critical,P1,Fixed,Configure deployment manifests to inject required environment variables from secure config maps.,6
BUG00106,Build process downloads packages repeatedly on minor updates,Docker build compilation takes several minutes due to missing layers caching setups.,Deployment,Kubernetes,Dockerfile Config,Kubernetes,High,P2,Open,Verify Docker ignore configurations to skip copying local cache folders during build pipelines.,19
BUG00107,Cache eviction failure displays stale profile details,Updates to client detail views fail to display because caching layers retain older records.,Cache,Spring Boot,Eviction Hook,Windows,Medium,P3,Fixed,Add cache clearing commands to user profile update query procedures.,62
BUG00108,Event listeners accumulate on frontend dashboard reload,Navigating between page tabs causes UI slowdowns because event listeners accumulate in memory. Note: system transaction key 5191 was recorded.,Memory Leak,Express,Component Cleanup,Windows,Low,P4,Fixed,Remove listener registrations when components run cleanups on destruction.,136
BUG00109,Log processors fail to parse malformed JSON inputs,The log shipper terminates with errors when handling payloads containing non-ASCII symbols. Note: system transaction key 2699 was recorded.,Logging,Flask,Log Shipper,Linux,Critical,P1,Closed,Apply secure string converters in logging controllers to handle special symbols.,8
BUG00110,Duplicate charge processing on purchase double clicks,Race conditions on the payment button route double transaction requests to the gateway.,Payment,Express,Checkout Controller,Linux,High,P2,Fixed,Deactivate checkout action controls once processing operations initialize.,13
BUG00111,Fuzzy query logic misses closely misspelled catalog terms,Searching for slightly misspelled names yields empty results due to strict match parameters. Note: system transaction key 1129 was recorded.,Search,MongoDB,Fuzzy Search,AWS,Medium,P3,In Progress,Adjust fuzziness thresholds on key query parameters inside properties profiles.,57
BUG00112,Email compiler crashes on missing template keys,Emails fail to send because compiler systems crash when parameters do not map to template variables.,Notification,Flask,Email Engine,Windows,Low,P4,Fixed,Implement schema checks to validate payload values before triggering compiler actions.,162
BUG00113,Validation allows upload of executable script files,Attackers can upload active script files by modifying filename parameters. Note: system transaction key 5420 was recorded.,File Upload,iOS,Security Sanitizer,iOS,Critical,P1,Fixed,Introduce binary signature header analyses to verify file types.,3
BUG00114,HTTPOnly configuration properties missing on session cookies,Vulnerability scanners report session hijacking risk due to missing cookie headers.,Session Management,React,Cookie Settings,Web,High,P2,Fixed,Reconfigure gateway cookie settings to force secure transportation pathways.,17
BUG00115,MFA verification code rejected on submission,The authentication system rejects OTP validation attempts for user_291 due to verification system exceptions.,Authentication,ASP.NET,MFA,Kubernetes,Medium,P3,Fixed,Update the time-based OTP library config files to accommodate moderate client clock offsets.,26
BUG00116,Unique index constraint fails when creating users concurrently,Concurrent user creations fail with duplicate database ID exceptions because key generation logic collides.,Database,Django,Database Schema,Docker,Low,P4,Fixed,Update primary key generation parameters to utilize UUID values instead of sequential integers.,141
BUG00117,Unhandled server exception when API receives empty body,Sending requests with empty JSON bodies to /api/users/login causes unhandled exceptions on the server.,API,Angular,Controller,Web,Critical,P1,Fixed,Introduce custom validation annotations to verify request body presence before executing parser code.,1
BUG00118,Dashboard component triggers infinite rendering loop,The system freezes user interface screens as CPU usage spikes to capacity during list renders.,UI,React,Dashboard,Web,High,P2,Closed,Refactor state setters to trigger conditionally only when values undergo actual modifications.,18
BUG00119,Private subnets experience DNS lookup timeouts,Virtual machines lose connection to external APIs as DNS lookups fail inside host subnets.,Network,Django,DNS Handler,Docker,Medium,P3,In Progress,Configure secure local DNS caches inside internal microservice container configurations.,29
BUG00120,Cross-site scripting exploit possible in comments section,Attackers can inject client-side script elements into the database through the user comments field. Note: system transaction key 4709 was recorded.,Security,AWS,XSS Sanitizer,AWS,Low,P4,Closed,Escape HTML characters and format text variables to string fields prior to client output.,87
